Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,1stDOpp,Rush,Pass,Pen
1,DAL,2013,2013-11-10,8:30,7:30,@,NOR,10,10,Sun,L 17-49,,40,15,20,5
2,JAX,2012,2012-11-18,1:03,12:03,@,HOU,11,10,Sun,L 37-43,OT,39,10,26,3
3,TEN,2013,2013-12-08,4:05,2:05,@,DEN,14,13,Sun,L 28-51,,39,9,25,5
4,ATL,2004,2004-10-24,1:00,12:00,@,KAN,7,7,Sun,L 10-56,,36,0,0,0
5,IND,2011,2011-10-23,8:30,7:30,@,NOR,7,7,Sun,L 7-62,,36,16,19,1
6,MIN,2011,2011-12-18,1:05,12:05,,NOR,15,14,Sun,L 20-42,,36,9,23,4
7,MIN,2014,2014-12-21,1:03,1:03,@,MIA,16,15,Sun,L 35-37,,36,7,23,6
8,MIN,2020,2020-12-25,4:30,3:30,@,NOR,16,15,Fri,L 33-52,,36,21,14,1
9,MIN,2021,2021-11-07,1:00,1:00,@,BAL,9,8,Sun,L 31-34,OT,36,17,15,4
10,NOR,2014,2014-11-30,1:02,1:02,@,PIT,13,12,Sun,W 35-32,,36,6,25,5
11,TEN,2012,2012-09-23,1:03,12:03,,DET,3,3,Sun,W 44-41,OT,36,11,23,2
12,LVR,2020,2020-11-22,8:20,5:20,,KAN,11,10,Sun,L 31-35,,36,10,22,4
13,TAM,2019,2019-09-29,4:05,1:05,@,LAR,4,4,Sun,W 55-40,,36,3,27,6
14,CLE,2020,2020-10-04,1:00,12:00,@,DAL,4,4,Sun,W 49-38,,35,6,29,0
15,DEN,2012,2012-10-07,4:25,4:25,@,NWE,5,5,Sun,L 21-31,,35,18,16,1
16,JAX,2015,2015-09-27,1:06,1:06,@,NWE,3,3,Sun,L 17-51,,35,12,19,4
17,KAN,2019,2019-10-13,1:00,12:00,,HOU,6,6,Sun,L 24-31,,35,12,20,3
18,NWE,2012,2012-11-11,1:02,1:02,,BUF,10,9,Sun,W 37-31,,35,11,20,4
19,NYG,2015,2015-11-01,1:02,12:02,@,NOR,8,8,Sun,L 49-52,,35,10,24,1
20,NYJ,2018,2018-12-23,1:00,1:00,,GNB,16,15,Sun,L 38-44,OT,35,9,19,7
