Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate
1,IND,2019,2019-12-16,8:15,7:15,@,NOR,15,14,Mon,L 7-34,,29,30,96.7%,307,4,0,0,0,148.9
2,HOU,2018,2018-11-26,8:15,7:15,,TEN,12,11,Mon,W 34-17,,22,23,95.7%,260,2,0,6,43,142.8
3,IND,2020,2020-09-13,1:00,1:00,@,JAX,1,1,Sun,L 20-27,,19,20,95.0%,150,3,0,4,23,137.5
4,HOU,2015,2015-10-25,1:02,1:02,@,MIA,7,7,Sun,L 26-44,,19,20,95.0%,255,4,0,4,41,158.3
5,ARI,2012,2012-10-29,8:40,5:40,,SFO,8,8,Mon,L 3-24,,18,19,94.7%,204,3,0,4,28,151.0
6,TAM,2018,2018-11-18,1:00,1:00,@,NYG,11,10,Sun,L 35-38,,17,18,94.4%,196,2,0,4,35,149.1
7,PIT,2003,2003-09-28,1:01,1:01,,TEN,4,4,Sun,L 13-30,,15,16,93.8%,158,3,0,1,3,147.4
8,PHI,2012,2012-11-18,1:03,1:03,@,WAS,11,10,Sun,L 6-31,,14,15,93.3%,192,4,0,2,8,158.3
9,DEN,2008,2008-11-23,4:05,2:05,,OAK,12,11,Sun,L 10-31,,11,12,91.7%,160,1,0,0,0,146.5
10,MIA,2015,2015-11-08,1:02,1:02,@,BUF,9,8,Sun,L 17-33,,11,12,91.7%,154,1,0,3,27,146.5
11,PHI,2021,2021-10-24,4:05,1:05,@,LVR,7,7,Sun,L 22-33,,31,34,91.2%,323,2,1,0,0,113.6
12,DEN,2018,2018-09-16,4:25,2:25,,OAK,2,2,Sun,W 20-19,,29,32,90.6%,281,1,0,1,7,113.7
13,IND,2014,2014-12-21,4:26,3:26,@,DAL,16,15,Sun,L 7-42,,19,21,90.5%,250,5,0,1,11,155.9
14,HOU,2021,2021-09-19,1:00,1:00,@,CLE,2,2,Sun,L 21-31,,19,21,90.5%,199,1,1,2,14,102.2
15,JAX,2020,2020-09-24,8:20,8:20,,MIA,3,3,Thu,L 13-31,,18,20,90.0%,156,2,0,1,4,132.5
16,KAN,2012,2012-11-01,8:27,5:27,@,SDG,9,8,Thu,L 13-31,,18,20,90.0%,216,2,1,1,4,124.2
17,WAS,2018,2018-10-08,8:15,7:15,@,NOR,5,4,Mon,L 19-43,,26,29,89.7%,349,3,0,2,14,151.3
18,DEN,2002,2002-11-11,9:09,7:09,,OAK,10,9,Mon,L 10-34,,34,38,89.5%,347,3,0,1,5,131.0
19,HOU,2006,2006-09-24,1:03,12:03,,WAS,3,3,Sun,L 15-31,,24,27,88.9%,261,1,0,0,0,119.3
20,TAM,2016,2016-12-18,8:30,7:30,@,DAL,15,14,Sun,L 20-26,,32,36,88.9%,264,0,0,3,15,97.2
21,ATL,2020,2020-09-13,1:00,1:00,,SEA,1,1,Sun,L 25-38,,31,35,88.6%,299,4,0,3,23,140.4
22,IND,2011,2011-10-23,8:30,7:30,@,NOR,7,7,Sun,L 7-62,,31,35,88.6%,321,5,0,2,4,144.5
23,BUF,2011,2011-11-13,1:02,12:02,@,DAL,10,9,Sun,L 7-44,,23,26,88.5%,270,3,0,0,0,148.4
