Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Att,Yds,Y/A,TD
1,DEN,2000,2000-10-22,1:00,1:00,@,CIN,8,8,Sun,L 21-31,,37,407,11.00,4
2,CIN,2020,2021-01-03,1:00,1:00,,BAL,17,16,Sun,L 3-38,,54,404,7.48,2
3,SDG,2007,2007-11-04,1:05,12:05,@,MIN,9,8,Sun,L 17-35,,43,378,8.79,4
4,IND,2006,2006-12-10,1:03,1:03,@,JAX,14,13,Sun,L 17-44,,42,375,8.93,4
5,SDG,2014,2014-12-20,8:26,5:26,@,SFO,16,15,Sat,W 38-35,OT,40,355,8.88,3
6,IND,2012,2012-12-23,1:03,12:03,@,KAN,16,15,Sun,W 20-13,,44,352,8.00,1
7,KAN,2009,2009-12-20,1:00,12:00,,CLE,15,14,Sun,L 34-41,,49,351,7.16,3
8,NYG,2014,2014-11-09,4:26,1:26,@,SEA,10,9,Sun,L 17-38,,45,350,7.78,5
9,CLE,2003,2003-09-14,1:02,1:02,@,BAL,2,2,Sun,L 13-33,,41,343,8.37,2
10,CAR,2001,2001-11-11,1:02,12:02,@,STL,9,9,Sun,L 14-48,,41,337,8.22,4
11,KAN,2008,2008-10-19,1:00,12:00,,TEN,7,6,Sun,L 10-34,,40,332,8.30,4
12,DEN,2010,2010-10-24,4:15,2:15,,OAK,7,7,Sun,L 14-59,,52,328,6.31,5
13,DEN,2018,2018-10-07,1:00,1:00,@,NYJ,5,5,Sun,L 16-34,,38,323,8.50,1
14,HOU,2005,2005-10-16,8:38,5:38,@,SEA,6,5,Sun,L 10-42,,42,320,7.62,5
15,OAK,2001,2001-11-11,8:36,5:36,@,SEA,9,8,Sun,L 27-34,,42,319,7.60,3
16,BUF,2009,2009-10-18,4:15,4:15,@,NYJ,6,6,Sun,W 16-13,OT,40,318,7.95,1
17,DET,2008,2008-09-07,1:04,1:04,@,ATL,1,1,Sun,L 21-34,,42,318,7.57,3
18,DEN,2009,2010-01-03,4:15,2:15,,KAN,17,16,Sun,L 24-44,,35,317,9.06,3
19,OAK,2009,2009-10-25,4:05,1:05,,NYJ,7,7,Sun,L 0-38,,54,316,5.85,4
20,SFO,2016,2016-10-16,1:02,1:02,@,BUF,6,6,Sun,L 16-45,,44,313,7.11,4
21,BUF,2012,2012-10-07,4:25,1:25,@,SFO,5,5,Sun,L 3-45,,38,311,8.18,3
22,CHI,2007,2007-10-14,1:02,12:02,,MIN,6,6,Sun,L 31-34,,43,311,7.23,3
23,DET,2009,2009-12-13,1:02,1:02,@,BAL,14,13,Sun,L 3-48,,40,308,7.70,5
24,DAL,2020,2020-10-04,1:00,12:00,,CLE,4,4,Sun,L 38-49,,40,307,7.68,3
25,DAL,2000,2000-09-03,4:05,3:05,,PHI,1,1,Sun,L 14-41,,46,306,6.65,3
26,TAM,2006,2006-09-17,1:05,1:05,@,ATL,2,2,Sun,L 3-14,,44,306,6.95,1
27,JAX,2009,2009-11-01,4:05,3:05,@,TEN,8,7,Sun,L 13-30,,49,305,6.22,2
28,CLE,2006,2006-12-07,8:04,8:04,@,PIT,14,13,Thu,L 7-27,,52,303,5.83,2
29,CAR,2008,2008-12-21,8:23,8:23,@,NYG,16,15,Sun,L 28-34,OT,41,301,7.34,3
30,SEA,2000,2000-11-26,4:16,1:16,,DEN,13,12,Sun,L 31-38,,41,301,7.34,3
31,KAN,2008,2008-09-14,1:00,12:00,,OAK,2,2,Sun,L 8-23,,47,300,6.38,2
32,DET,2013,2013-12-08,1:02,1:02,@,PHI,14,13,Sun,L 20-34,,46,299,6.50,4
33,MIA,2007,2007-09-30,1:32,1:32,,OAK,4,4,Sun,L 17-35,,49,299,6.10,3
34,OAK,2011,2011-11-06,4:05,1:05,,DEN,9,8,Sun,L 24-38,,39,299,7.67,2
35,TAM,2008,2008-12-08,8:36,8:36,@,CAR,14,13,Mon,L 23-38,,37,299,8.08,4
36,BUF,2017,2017-11-12,1:00,1:00,,NOR,10,9,Sun,L 10-47,,48,298,6.21,6
37,CLE,2018,2018-12-30,4:25,1:00,@,BAL,17,16,Sun,L 24-26,,47,296,6.30,2
38,NYJ,2007,2007-11-04,1:02,1:02,,WAS,9,9,Sun,L 20-23,OT,48,296,6.17,1
39,NYG,2002,2002-10-28,9:08,9:08,@,PHI,8,7,Mon,L 3-17,,40,295,7.38,1
40,DAL,2020,2020-12-08,8:05,8:05,@,BAL,13,12,Tue,L 17-34,,37,294,7.95,2
41,MIA,2017,2017-11-13,8:30,8:30,@,CAR,10,9,Mon,L 21-45,,36,294,8.17,2
42,STL,2011,2011-10-23,4:15,3:15,@,DAL,7,6,Sun,L 7-34,,34,294,8.65,2
43,ARI,2000,2000-12-03,1:02,1:02,@,CIN,14,13,Sun,L 13-24,,54,292,5.41,2
44,DET,2008,2008-11-27,12:37,12:37,,TEN,13,12,Thu,L 10-47,,46,292,6.35,4
45,CLE,2011,2011-12-04,4:05,4:05,,BAL,13,12,Sun,L 10-24,,55,290,5.27,2
46,BUF,2007,2007-12-23,1:02,1:02,,NYG,16,15,Sun,L 21-38,,47,289,6.15,3
47,CHI,2013,2013-12-22,8:30,8:30,@,PHI,16,15,Sun,L 11-54,,36,289,8.03,4
48,DEN,2008,2008-12-28,8:23,5:23,@,SDG,17,16,Sun,L 21-52,,42,289,6.88,5
49,HOU,2020,2021-01-03,4:25,3:25,,TEN,17,16,Sun,L 38-41,,41,288,7.02,4
50,JAX,2019,2019-10-06,1:00,1:00,@,CAR,5,5,Sun,L 27-34,,27,285,10.56,3
51,MIN,2005,2005-10-02,4:17,4:17,@,ATL,4,4,Sun,L 10-30,,41,285,6.95,2
52,LAR,2019,2019-11-25,8:15,5:15,,BAL,12,11,Mon,L 6-45,,48,285,5.94,1
53,ARI,2012,2012-12-09,4:26,1:26,@,SEA,14,13,Sun,L 0-58,,42,284,6.76,4
54,NOR,2000,2000-12-03,1:02,12:02,,DEN,14,13,Sun,L 23-38,,49,283,5.78,4
55,PHI,2015,2015-11-22,1:02,1:02,,TAM,11,10,Sun,L 17-45,,42,283,6.74,0
56,JAX,2007,2007-09-09,1:04,1:04,,TEN,1,1,Sun,L 10-13,,49,282,5.76,1
57,NOR,2006,2006-11-26,1:05,1:05,@,ATL,12,11,Sun,W 31-13,,45,281,6.24,1
58,TEN,2018,2018-11-26,8:15,7:15,@,HOU,12,11,Mon,L 17-34,,34,281,8.26,2
59,CLE,2016,2016-12-18,1:00,1:00,@,BUF,15,14,Sun,L 13-33,,40,280,7.00,3
60,KAN,2002,2002-12-28,5:15,2:15,@,OAK,17,16,Sat,L 0-24,,60,280,4.67,2
61,NWE,2013,2013-11-24,8:30,8:30,,DEN,12,11,Sun,W 34-31,OT,48,280,5.83,1
62,OAK,2012,2012-11-04,4:05,1:05,,TAM,9,8,Sun,L 32-42,,32,278,8.69,4
63,MIA,2014,2014-12-01,8:30,8:30,@,NYJ,13,12,Mon,W 16-13,,49,277,5.65,1
64,OAK,2008,2008-12-14,4:15,1:15,,NWE,15,14,Sun,L 26-49,,39,277,7.10,2
65,BUF,2010,2011-01-02,1:03,1:03,@,NYJ,17,16,Sun,L 7-38,,50,276,5.52,2
