Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Tot,TO
1,JAX,2012,2012/11/18,1:03,12:03,@,HOU,11,10,Sun,L 37-43,OT,653,3
2,ATL,2002,2002/11/10,1:01,1:01,@,PIT,10,9,Sun,T 34-34,OT,645,3
3,MIA,2019,2019/9/8,1:00,1:00,,BAL,1,1,Sun,L 10-59,,643,
4,IND,2014,2014/10/26,4:25,4:25,@,PIT,8,8,Sun,L 34-51,,639,2
5,TAM,2016,2016/10/30,1:02,1:02,,OAK,8,7,Sun,L 24-30,OT,626,1
6,DAL,2013,2013/11/10,8:30,7:30,@,NOR,10,10,Sun,L 17-49,,625,1
7,DAL,2013,2013/10/27,1:03,1:03,@,DET,8,8,Sun,L 30-31,,623,4
8,MIA,2011,2011/9/12,7:13,7:13,,NWE,1,1,Mon,L 24-38,,622,1
9,BUF,2012,2012/10/7,4:25,1:25,@,SFO,5,5,Sun,L 3-45,,621,1
10,TEN,2009,2009/10/18,4:15,4:15,@,NWE,6,6,Sun,L 0-59,,619,
11,CAR,2011,2012/1/1,1:03,12:03,@,NOR,17,16,Sun,L 17-45,,617,1
12,SDG,2000,2000/10/1,1:02,12:02,@,STL,5,5,Sun,L 31-57,,614,
13,PIT,2013,2013/11/3,4:25,4:25,@,NWE,9,8,Sun,L 31-55,,610,1
14,NYG,2015,2015/11/1,1:02,12:02,@,NOR,8,8,Sun,L 49-52,,608,2
15,HOU,2020,2020/10/18,1:00,12:00,@,TEN,6,6,Sun,L 36-42,OT,607,2
16,NOR,2004,2004/10/17,8:36,7:36,,MIN,6,6,Sun,L 31-38,,605,3
17,TAM,2012,2012/9/16,1:03,1:03,@,NYG,2,2,Sun,L 34-41,,604,3
18,OAK,2015,2015/11/8,1:02,1:02,@,PIT,9,8,Sun,L 35-38,,597,2
19,ARI,2014,2014/12/21,8:30,6:30,,SEA,16,15,Sun,L 6-35,,596,
20,CIN,2006,2006/11/19,1:02,12:02,@,NOR,11,10,Sun,W 31-16,,595,4
21,ATL,2019,2019/10/6,1:00,12:00,@,HOU,5,5,Sun,L 32-53,,592,1
22,WAS,2010,2010/11/15,8:40,8:40,,PHI,10,9,Mon,L 28-59,,592,
23,SDG,2002,2002/12/29,4:15,1:15,,SEA,17,16,Sun,L 28-31,OT,591,3
24,IND,2004,2004/10/31,1:00,12:00,@,KAN,8,7,Sun,L 35-45,,590,2
25,MIA,2016,2016/12/24,1:00,1:00,@,BUF,16,15,Sat,W 34-31,OT,589,
26,DET,2020,2020/12/26,1:00,1:00,,TAM,16,15,Sat,L 7-47,,588,
27,MIN,2020,2020/12/25,4:30,3:30,@,NOR,16,15,Fri,L 33-52,,583,2
28,TEN,2012,2012/9/23,1:03,12:03,,DET,3,3,Sun,W 44-41,OT,583,1
29,SFO,2005,2005/9/18,1:03,1:03,@,PHI,2,2,Sun,L 3-42,,583,1
30,BUF,2012,2012/9/30,1:02,1:02,,NWE,4,4,Sun,L 28-52,,580,2
31,WAS,2013,2013/9/15,1:02,12:02,@,GNB,2,2,Sun,L 20-38,,580,1
32,SEA,2000,2000/12/23,8:36,5:36,,BUF,17,16,Sat,L 23-42,,579,2
33,WAS,2006,2006/12/24,1:02,12:02,@,STL,16,15,Sun,L 31-37,OT,579,1
34,NYG,2011,2011/11/28,8:40,7:40,@,NOR,12,11,Mon,L 24-49,,577,
35,CIN,2018,2018/10/28,1:00,1:00,,TAM,8,8,Sun,W 37-34,,576,4
36,PHI,2018,2018/12/9,4:25,3:25,@,DAL,14,13,Sun,L 23-29,OT,576,3
37,GNB,2011,2012/1/1,1:02,12:02,,DET,17,16,Sun,W 45-41,,575,4
38,BAL,2021,2021/12/26,1:00,1:00,@,CIN,16,15,Sun,L 21-41,,575,
39,MIN,2011,2011/12/18,1:05,12:05,,NOR,15,14,Sun,L 20-42,,573,2
40,ARI,2020,2020/10/25,8:20,6:20,,SEA,7,7,Sun,W 37-34,OT,572,3
41,CAR,2016,2016/10/2,1:04,1:04,@,ATL,4,4,Sun,L 33-48,,571,1
42,CAR,2021,2021/10/17,1:00,1:00,,MIN,6,6,Sun,L 28-34,OT,571,1
43,CIN,2019,2019/9/15,1:00,1:00,,SFO,2,2,Sun,L 17-41,,571,1
44,SFO,2016,2016/11/6,4:05,1:05,,NOR,9,8,Sun,L 23-41,,571,
45,ATL,2020,2020/9/20,1:00,12:00,@,DAL,2,2,Sun,L 39-40,,570,3
46,ARI,2014,2014/10/5,4:05,2:05,@,DEN,5,4,Sun,L 20-41,,568,2
47,NOR,2014,2014/9/7,1:03,1:03,@,ATL,1,1,Sun,L 34-37,OT,568,1
48,ATL,2004,2004/10/31,4:05,2:05,@,DEN,8,8,Sun,W 41-28,,567,3
49,NWE,2021,2021/10/17,4:25,4:25,,DAL,6,6,Sun,L 29-35,OT,567,2
50,TEN,2004,2004/12/5,1:02,1:02,@,IND,13,12,Sun,L 24-51,,567,3
51,CLE,2020,2020/10/4,1:00,12:00,@,DAL,4,4,Sun,W 49-38,,566,3
52,CLE,2018,2018/9/30,4:05,1:05,@,OAK,4,4,Sun,L 42-45,OT,565,2
53,CLE,2008,2008/11/6,8:15,8:15,,DEN,10,9,Thu,L 30-34,,564,1
54,PHI,2005,2005/10/30,4:15,2:15,@,DEN,8,7,Sun,L 21-49,,564,
55,GNB,2019,2019/10/6,4:25,3:25,@,DAL,5,5,Sun,W 34-24,,563,3
56,DAL,2012,2012/12/23,1:02,12:02,,NOR,16,15,Sun,L 31-34,OT,562,
57,GNB,2013,2013/11/28,12:36,12:36,@,DET,13,12,Thu,L 10-40,,561,4
58,PHI,2013,2013/11/3,4:05,1:05,@,OAK,9,9,Sun,W 49-20,,560,2
59,CLE,2016,2016/10/23,1:02,1:02,@,CIN,7,7,Sun,L 17-31,,559,1
60,ATL,2014,2014/9/28,4:25,3:25,@,MIN,4,4,Sun,L 28-41,,558,
61,MIA,2021,2021/10/10,1:00,1:00,@,TAM,5,5,Sun,L 17-45,,558,
62,IND,2011,2011/10/23,8:30,7:30,@,NOR,7,7,Sun,L 7-62,,557,
63,MIN,2018,2018/9/27,8:20,5:20,@,LAR,4,4,Thu,L 31-38,,556,
64,BUF,2001,2001/9/23,1:00,12:00,@,IND,2,2,Sun,L 26-42,,555,3
65,NOR,2017,2017/9/17,1:00,12:00,,NWE,2,2,Sun,L 20-36,,555,
66,LAR,2016,2016/11/27,1:00,12:00,@,NOR,12,11,Sun,L 21-49,,555,1
67,CIN,2007,2007/9/16,1:03,1:03,@,CLE,2,2,Sun,L 45-51,,554,1
68,STL,2011,2011/9/25,4:05,3:05,,BAL,3,3,Sun,L 7-37,,553,1
69,OAK,2019,2019/12/8,4:25,1:25,,TEN,14,13,Sun,L 21-42,,552,1
70,SEA,2002,2002/11/24,4:05,1:05,,KAN,12,11,Sun,W 39-32,,552,1
71,SFO,2007,2007/11/25,4:06,2:06,@,ARI,12,11,Sun,W 37-31,OT,552,4
72,WAS,2019,2019/12/22,1:00,1:00,,NYG,16,15,Sun,L 35-41,OT,552,
73,CIN,2018,2018/10/21,8:20,12:00,@,KAN,7,7,Sun,L 10-45,,551,1
74,NYJ,2021,2021/10/24,1:00,1:00,@,NWE,7,6,Sun,L 13-54,,551,
75,TEN,2013,2013/12/8,4:05,2:05,@,DEN,14,13,Sun,L 28-51,,551,
76,DET,2011,2012/1/1,1:02,12:02,@,GNB,17,16,Sun,L 41-45,,550,2
77,SFO,2016,2016/12/18,4:05,4:05,@,ATL,15,14,Sun,L 13-41,,550,1
78,ARI,2019,2019/12/1,4:05,2:05,,LAR,13,12,Sun,L 7-34,,549,
79,GNB,2008,2008/12/7,1:02,12:02,,HOU,14,13,Sun,L 21-24,,549,4
80,DET,2009,2009/12/13,1:02,1:02,@,BAL,14,13,Sun,L 3-48,,548,1
81,GNB,2015,2015/10/18,4:25,3:25,,SDG,6,6,Sun,W 27-20,,548,1
82,MIA,2017,2017/11/13,8:30,8:30,@,CAR,10,9,Mon,L 21-45,,548,
83,OAK,2003,2003/12/22,9:05,6:05,,GNB,16,15,Mon,L 7-41,,548,
84,CHI,2015,2015/10/18,1:02,1:02,@,DET,6,6,Sun,L 34-37,OT,546,3
85,CIN,2016,2016/10/30,8:36,1:36,,WAS,8,8,Sun,T 27-27,OT,546,1
86,PHI,2018,2018/11/18,4:25,12:00,@,NOR,11,10,Sun,L 7-48,,546,
87,LAR,2018,2018/11/19,8:15,7:15,,KAN,11,11,Mon,W 54-51,,546,5
88,WAS,2001,2001/9/30,1:01,1:01,,KAN,3,3,Sun,L 13-45,,546,
89,BAL,2017,2017/12/10,8:30,8:30,@,PIT,14,13,Sun,L 38-39,,545,
90,SDG,2006,2006/11/12,1:03,1:03,@,CIN,10,9,Sun,W 49-41,,545,1
91,SEA,2010,2010/10/31,4:15,1:15,@,OAK,8,7,Sun,L 3-33,,545,
92,CAR,2020,2020/11/15,1:00,1:00,,TAM,10,10,Sun,L 23-46,,544,1
93,PIT,2001,2001/12/30,1:02,1:02,@,CIN,16,15,Sun,L 23-26,OT,544,3
94,CHI,2011,2011/10/2,1:04,12:04,,CAR,4,4,Sun,W 34-29,,543,1
95,CIN,2014,2014/12/7,1:02,1:02,,PIT,14,13,Sun,L 21-42,,543,
96,CLE,2009,2009/10/18,1:01,1:01,@,PIT,6,6,Sun,L 14-27,,543,4
97,TAM,2020,2020/11/29,4:25,4:25,,KAN,12,12,Sun,L 24-27,,543,1
98,IND,2019,2019/12/8,1:00,1:00,@,TAM,14,13,Sun,L 35-38,,542,4
99,GNB,2004,2004/12/5,4:15,4:15,@,PHI,13,12,Sun,L 17-47,,542,1
100,KAN,2004,2004/12/13,9:08,8:08,@,TEN,14,13,Mon,W 49-38,,542,4
101,OAK,2013,2013/11/3,4:05,1:05,,PHI,9,8,Sun,L 20-49,,542,
102,CHI,2018,2018/10/14,1:00,1:00,@,MIA,6,5,Sun,L 28-31,OT,541,3
103,KAN,2018,2018/9/9,4:05,1:05,@,LAC,1,1,Sun,W 38-28,,541,2
104,ATL,2004,2004/10/24,1:00,12:00,@,KAN,7,7,Sun,L 10-56,,540,1
105,HOU,2020,2020/12/27,1:00,12:00,,CIN,16,15,Sun,L 31-37,,540,
106,NYJ,2018,2018/12/23,1:00,1:00,,GNB,16,15,Sun,L 38-44,OT,540,1
107,PHI,2013,2013/9/15,1:02,1:02,,SDG,2,2,Sun,L 30-33,,539,2
