Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds
1,OAK,2016,2016-10-30,1:02,1:02,@,TAM,8,8,Sun,W 30-24,OT,23,200,6,64,29,264
2,BAL,2005,2005-10-09,1:02,1:02,@,DET,5,4,Sun,L 17-35,,21,147,7,46,28,193
3,NYJ,2013,2013-09-22,4:25,4:25,,BUF,3,3,Sun,W 27-20,,20,168,7,87,27,255
4,BUF,2001,2001-09-23,1:00,12:00,@,IND,2,2,Sun,L 26-42,,19,133,8,59,27,192
5,OAK,2003,2003-10-12,1:03,1:03,@,CLE,6,6,Sun,L 7-13,,19,128,6,55,25,183
6,CLE,2019,2019-09-08,1:00,1:00,,TEN,1,1,Sun,L 13-43,,18,182,6,54,24,236
7,DAL,2015,2015-09-20,4:25,4:25,@,PHI,2,2,Sun,W 20-10,,18,142,8,60,26,202
8,GNB,2010,2010-09-27,8:40,7:40,@,CHI,3,3,Mon,L 17-20,,18,152,5,38,23,190
9,MIA,2005,2005-10-09,1:02,1:02,@,BUF,5,4,Sun,L 14-20,,18,102,7,63,25,165
10,TEN,2005,2006-01-01,4:05,4:05,@,JAX,17,16,Sun,L 13-40,,18,140,7,50,25,190
11,BUF,2015,2015-10-04,1:02,1:02,,NYG,4,4,Sun,L 10-24,,17,135,11,85,28,220
12,CIN,2005,2005-09-18,1:03,1:03,,MIN,2,2,Sun,W 37-8,,17,115,7,49,24,164
13,DET,2005,2005-11-20,1:02,12:02,@,DAL,11,10,Sun,L 7-20,,17,129,5,40,22,169
14,DET,2016,2016-09-18,1:02,1:02,,TEN,2,2,Sun,L 15-16,,17,138,12,83,29,221
15,MIA,2017,2017-11-19,1:00,1:00,,TAM,11,10,Sun,L 20-30,,17,123,9,82,26,205
16,NOR,2000,2000-11-26,1:02,12:02,@,STL,13,12,Sun,W 31-24,,17,116,14,132,31,248
17,OAK,2003,2003-09-07,8:51,7:51,@,TEN,1,1,Sun,L 20-25,,17,173,11,111,28,284
18,TAM,2003,2003-09-14,4:05,4:05,,CAR,2,2,Sun,L 9-12,OT,17,168,16,120,33,288
19,WAS,2003,2003-09-21,4:05,4:05,,NYG,3,3,Sun,L 21-24,OT,17,142,15,124,32,266
20,ATL,2019,2019-09-22,1:00,1:00,@,IND,3,3,Sun,L 24-27,,16,128,4,39,20,167
21,CAR,2003,2003-09-14,4:05,4:05,@,TAM,2,2,Sun,W 12-9,OT,16,120,17,168,33,288
22,DET,2012,2012-10-14,1:03,1:03,@,PHI,6,5,Sun,W 26-23,OT,16,132,9,60,25,192
23,JAX,2019,2019-12-01,1:00,1:00,,TAM,13,12,Sun,L 11-28,,16,121,8,44,24,165
24,NOR,2001,2001-12-17,9:09,8:09,,STL,14,13,Mon,L 21-34,,16,132,11,85,27,217
25,NOR,2002,2002-11-17,1:05,1:05,@,ATL,11,10,Sun,L 17-24,,16,133,9,69,25,202
26,NYG,2005,2005-11-27,4:16,1:16,@,SEA,12,11,Sun,L 21-24,OT,16,114,8,65,24,179
27,NYJ,2018,2018-12-23,1:00,1:00,,GNB,16,15,Sun,L 38-44,OT,16,172,10,86,26,258
28,OAK,2005,2005-09-08,9:07,9:07,@,NWE,1,1,Thu,L 20-30,,16,149,7,46,23,195
29,OAK,2015,2015-09-20,4:05,1:05,,BAL,2,2,Sun,W 37-33,,16,106,10,109,26,215
30,OAK,2015,2015-12-24,8:26,5:26,,SDG,16,15,Thu,W 23-20,OT,16,121,9,75,25,196
31,SEA,2017,2017-11-05,4:05,1:05,,WAS,9,8,Sun,L 14-17,,16,138,7,62,23,200
32,SFO,2014,2014-09-14,8:31,5:31,,CHI,2,2,Sun,L 20-28,,16,118,10,58,26,176
33,TAM,2015,2015-10-25,1:04,1:04,@,WAS,7,6,Sun,L 30-31,,16,142,4,20,20,162
34,ATL,2018,2018-09-06,8:20,8:20,@,PHI,1,1,Thu,L 12-18,,15,135,11,101,26,236
35,BUF,2004,2004-11-21,1:02,1:02,,STL,11,10,Sun,W 37-17,,15,123,11,84,26,207
36,BUF,2006,2006-10-01,1:02,1:02,,MIN,4,4,Sun,W 17-12,,15,104,12,78,27,182
37,BUF,2015,2015-12-13,1:01,1:01,@,PHI,14,13,Sun,L 20-23,,15,101,5,55,20,156
