Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%
1,NOR,2013,11/10/2013,8:30,7:30,,DAL,10,9,Sun,W 49-17,,40,15,20,5,12,9,75.00%,1,1,100.00%
2,DEN,2013,12/8/2013,4:05,2:05,,TEN,14,13,Sun,W 51-28,,39,9,25,5,13,5,38.50%,3,3,100.00%
3,HOU,2012,11/18/2012,1:03,12:03,,JAX,11,10,Sun,W 43-37,OT,39,10,26,3,11,4,36.40%,0,0,
4,DET,2012,9/23/2012,1:03,12:03,@,TEN,3,3,Sun,L 41-44,OT,36,11,23,2,12,3,25.00%,1,0,0.00%
5,KAN,2004,10/24/2004,1:00,12:00,,ATL,7,6,Sun,W 56-10,,36,21,14,1,10,6,60.00%,0,0,
6,KAN,2020,11/22/2020,8:20,5:20,@,LVR,11,10,Sun,W 35-31,,36,10,22,4,9,5,55.60%,2,2,100.00%
7,MIA,2014,12/21/2014,1:03,1:03,,MIN,16,15,Sun,W 37-35,,36,7,23,6,13,9,69.20%,0,0,
8,NOR,2011,10/23/2011,8:30,7:30,,IND,7,7,Sun,W 62-7,,36,16,19,1,8,6,75.00%,0,0,
9,NOR,2011,12/18/2011,1:05,12:05,@,MIN,15,14,Sun,W 42-20,,36,9,23,4,11,8,72.70%,1,0,0.00%
10,NOR,2020,12/25/2020,4:30,3:30,,MIN,16,15,Fri,W 52-33,,36,21,14,1,9,5,55.60%,1,1,100.00%
11,PIT,2014,11/30/2014,1:02,1:02,,NOR,13,12,Sun,L 32-35,,36,6,25,5,14,6,42.90%,1,0,0.00%
12,LAR,2019,9/29/2019,4:05,1:05,,TAM,4,4,Sun,L 40-55,,36,3,27,6,11,4,36.40%,1,0,0.00%
13,BAL,2021,11/7/2021,1:00,1:00,,MIN,9,8,Sun,W 34-31,OT,36,17,15,4,15,6,40.00%,3,3,100.00%
14,BUF,2012,11/11/2012,1:02,1:02,@,NWE,10,9,Sun,L 31-37,,35,11,20,4,11,7,63.60%,1,1,100.00%
15,CIN,2016,10/30/2016,8:36,1:36,,WAS,8,8,Sun,T 27-27,OT,35,10,17,8,15,8,53.30%,0,0,
16,DAL,2020,10/4/2020,1:00,12:00,,CLE,4,4,Sun,L 38-49,,35,6,29,0,11,6,54.50%,2,1,50.00%
17,DEN,2013,9/29/2013,4:25,2:25,,PHI,4,4,Sun,W 52-20,,35,11,19,5,8,5,62.50%,0,0,
18,GNB,2018,12/23/2018,1:00,1:00,@,NYJ,16,15,Sun,W 44-38,OT,35,9,19,7,12,5,41.70%,2,2,100.00%
19,HOU,2019,10/13/2019,1:00,12:00,@,KAN,6,6,Sun,W 31-24,,35,12,20,3,12,5,41.70%,3,2,66.70%
20,NOR,2015,11/1/2015,1:02,12:02,,NYG,8,8,Sun,W 52-49,,35,10,24,1,11,7,63.60%,1,1,100.00%
21,NWE,2012,10/7/2012,4:25,4:25,,DEN,5,5,Sun,W 31-21,,35,18,16,1,17,11,64.70%,1,0,0.00%
22,NWE,2015,9/27/2015,1:06,1:06,,JAX,3,3,Sun,W 51-17,,35,12,19,4,14,11,78.60%,0,0,
23,BUF,2011,9/18/2011,1:03,1:03,,OAK,2,2,Sun,W 38-35,,34,12,17,5,11,4,36.40%,2,2,100.00%
24,IND,2006,9/17/2006,1:03,1:03,,HOU,2,2,Sun,W 43-24,,34,9,21,4,12,9,75.00%,0,0,
25,DEN,2000,11/19/2000,4:05,2:05,,SDG,12,11,Sun,W 38-37,,34,5,24,5,14,7,50.00%,0,0,
