Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Att,Yds,Y/A,TD
1,CIN,2000,2000/10/22,1:00,1:00,,DEN,8,7,Sun,W 31-21,,37,407,11,4
2,BAL,2020,2021/1/3,1:00,1:00,@,CIN,17,16,Sun,W 38-3,,54,404,7.48,2
3,MIN,2007,2007/11/4,1:05,12:05,,SDG,9,8,Sun,W 35-17,,43,378,8.79,4
4,JAX,2006,2006/12/10,1:03,1:03,,IND,14,13,Sun,W 44-17,,42,375,8.93,4
5,SFO,2014,2014/12/20,8:26,5:26,,SDG,16,15,Sat,L 35-38,OT,40,355,8.88,3
6,KAN,2012,2012/12/23,1:03,12:03,,IND,16,15,Sun,L 13-20,,44,352,8,1
7,CLE,2009,2009/12/20,1:00,12:00,@,KAN,15,14,Sun,W 41-34,,49,351,7.16,3
8,SEA,2014,2014/11/9,4:26,1:26,,NYG,10,9,Sun,W 38-17,,45,350,7.78,5
9,BAL,2003,2003/9/14,1:02,1:02,,CLE,2,2,Sun,W 33-13,,41,343,8.37,2
10,STL,2001,2001/11/11,1:02,12:02,,CAR,9,8,Sun,W 48-14,,41,337,8.22,4
11,TEN,2008,2008/10/19,1:00,12:00,@,KAN,7,6,Sun,W 34-10,,40,332,8.3,4
12,OAK,2010,2010/10/24,4:15,2:15,@,DEN,7,7,Sun,W 59-14,,52,328,6.31,5
13,NYJ,2018,2018/10/7,1:00,1:00,,DEN,5,5,Sun,W 34-16,,38,323,8.5,1
14,SEA,2005,2005/10/16,8:38,5:38,,HOU,6,6,Sun,W 42-10,,42,320,7.62,5
15,SEA,2001,2001/11/11,8:36,5:36,,OAK,9,8,Sun,W 34-27,,42,319,7.6,3
16,ATL,2008,2008/9/7,1:04,1:04,,DET,1,1,Sun,W 34-21,,42,318,7.57,3
17,NYJ,2009,2009/10/18,4:15,4:15,,BUF,6,6,Sun,L 13-16,OT,40,318,7.95,1
18,KAN,2009,2010/1/3,4:15,2:15,@,DEN,17,16,Sun,W 44-24,,35,317,9.06,3
19,NYJ,2009,2009/10/25,4:05,1:05,@,OAK,7,7,Sun,W 38-0,,54,316,5.85,4
20,BUF,2016,2016/10/16,1:02,1:02,,SFO,6,6,Sun,W 45-16,,44,313,7.11,4
21,MIN,2007,2007/10/14,1:02,12:02,@,CHI,6,5,Sun,W 34-31,,43,311,7.23,3
22,SFO,2012,2012/10/7,4:25,1:25,,BUF,5,5,Sun,W 45-3,,38,311,8.18,3
23,BAL,2009,2009/12/13,1:02,1:02,,DET,14,13,Sun,W 48-3,,40,308,7.7,5
24,CLE,2020,2020/10/4,1:00,12:00,@,DAL,4,4,Sun,W 49-38,,40,307,7.68,3
25,ATL,2006,2006/9/17,1:05,1:05,,TAM,2,2,Sun,W 14-3,,44,306,6.95,1
26,PHI,2000,2000/9/3,4:05,3:05,@,DAL,1,1,Sun,W 41-14,,46,306,6.65,3
27,TEN,2009,2009/11/1,4:05,3:05,,JAX,8,7,Sun,W 30-13,,49,305,6.22,2
28,PIT,2006,2006/12/7,8:04,8:04,,CLE,14,13,Thu,W 27-7,,52,303,5.83,2
29,DEN,2000,2000/11/26,4:16,1:16,@,SEA,13,12,Sun,W 38-31,,41,301,7.34,3
30,NYG,2008,2008/12/21,8:23,8:23,,CAR,16,15,Sun,W 34-28,OT,41,301,7.34,3
31,OAK,2008,2008/9/14,1:00,12:00,@,KAN,2,2,Sun,W 23-8,,47,300,6.38,2
32,CAR,2008,2008/12/8,8:36,8:36,,TAM,14,13,Mon,W 38-23,,37,299,8.08,4
33,DEN,2011,2011/11/6,4:05,1:05,@,OAK,9,8,Sun,W 38-24,,39,299,7.67,2
34,PHI,2013,2013/12/8,1:02,1:02,,DET,14,13,Sun,W 34-20,,46,299,6.5,4
35,OAK,2007,2007/9/30,1:32,1:32,@,MIA,4,4,Sun,W 35-17,,49,299,6.1,3
36,NOR,2017,2017/11/12,1:00,1:00,@,BUF,10,9,Sun,W 47-10,,48,298,6.21,6
37,BAL,2018,2018/12/30,4:25,1:00,,CLE,17,16,Sun,W 26-24,,47,296,6.3,2
38,WAS,2007,2007/11/4,1:02,1:02,@,NYJ,9,8,Sun,W 23-20,OT,48,296,6.17,1
39,PHI,2002,2002/10/28,9:08,9:08,,NYG,8,7,Mon,W 17-3,,40,295,7.38,1
40,CAR,2017,2017/11/13,8:30,8:30,,MIA,10,10,Mon,W 45-21,,36,294,8.17,2
41,DAL,2011,2011/10/23,4:15,3:15,,STL,7,6,Sun,W 34-7,,34,294,8.65,2
42,BAL,2020,2020/12/8,8:05,8:05,,DAL,13,12,Tue,W 34-17,,37,294,7.95,2
43,CIN,2000,2000/12/3,1:02,1:02,,ARI,14,13,Sun,W 24-13,,54,292,5.41,2
44,TEN,2008,2008/11/27,12:37,12:37,@,DET,13,12,Thu,W 47-10,,46,292,6.35,4
45,BAL,2011,2011/12/4,4:05,4:05,@,CLE,13,12,Sun,W 24-10,,55,290,5.27,2
46,NYG,2007,2007/12/23,1:02,1:02,@,BUF,16,15,Sun,W 38-21,,47,289,6.15,3
47,PHI,2013,2013/12/22,8:30,8:30,,CHI,16,15,Sun,W 54-11,,36,289,8.03,4
48,SDG,2008,2008/12/28,8:23,5:23,,DEN,17,16,Sun,W 52-21,,42,289,6.88,5
49,TEN,2020,2021/1/3,4:25,3:25,@,HOU,17,16,Sun,W 41-38,,41,288,7.02,4
50,ATL,2005,2005/10/2,4:17,4:17,,MIN,4,4,Sun,W 30-10,,41,285,6.95,2
51,CAR,2019,2019/10/6,1:00,1:00,,JAX,5,5,Sun,W 34-27,,27,285,10.56,3
52,BAL,2019,2019/11/25,8:15,5:15,@,LAR,12,11,Mon,W 45-6,,48,285,5.94,1
53,SEA,2012,2012/12/9,4:26,1:26,,ARI,14,13,Sun,W 58-0,,42,284,6.76,4
54,DEN,2000,2000/12/3,1:02,12:02,@,NOR,14,13,Sun,W 38-23,,49,283,5.78,4
55,TAM,2015,2015/11/22,1:02,1:02,@,PHI,11,10,Sun,W 45-17,,42,283,6.74,0
56,TEN,2007,2007/9/9,1:04,1:04,@,JAX,1,1,Sun,W 13-10,,49,282,5.76,1
57,ATL,2006,2006/11/26,1:05,1:05,,NOR,12,11,Sun,L 13-31,,45,281,6.24,1
58,HOU,2018,2018/11/26,8:15,7:15,,TEN,12,11,Mon,W 34-17,,34,281,8.26,2
59,BUF,2016,2016/12/18,1:00,1:00,,CLE,15,14,Sun,W 33-13,,40,280,7,3
60,DEN,2013,2013/11/24,8:30,8:30,@,NWE,12,11,Sun,L 31-34,OT,48,280,5.83,1
61,OAK,2002,2002/12/28,5:15,2:15,,KAN,17,16,Sat,W 24-0,,60,280,4.67,2
62,TAM,2012,2012/11/4,4:05,1:05,@,OAK,9,8,Sun,W 42-32,,32,278,8.69,4
63,NWE,2008,2008/12/14,4:15,1:15,@,OAK,15,14,Sun,W 49-26,,39,277,7.1,2
64,NYJ,2014,2014/12/1,8:30,8:30,,MIA,13,12,Mon,L 13-16,,49,277,5.65,1
65,NYJ,2010,2011/1/2,1:03,1:03,,BUF,17,16,Sun,W 38-7,,50,276,5.52,2
66,BAL,2003,2003/12/21,1:03,1:03,@,CLE,16,15,Sun,W 35-0,,41,276,6.73,3
67,IND,2004,2004/11/21,1:02,12:02,@,CHI,11,10,Sun,W 41-10,,39,275,7.05,1
