Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time
1,HOU,2012,2012/11/18,1:03,12:03,,JAX,11,10,Sun,W 43-37,OT,653,92,7.1,66,6.9,3,41:40:00,3:49
2,PIT,2002,2002/11/10,1:01,1:01,,ATL,10,9,Sun,T 34-34,OT,645,85,7.6,80,5.6,3,39:50:00,4:07
3,BAL,2019,2019/9/8,1:00,1:00,@,MIA,1,1,Sun,W 59-10,,643,73,8.8,47,4.3,,40:07:00,2:58
4,PIT,2014,2014/10/26,4:25,4:25,,IND,8,8,Sun,W 51-34,,639,81,7.9,57,7.9,2,39:43:00,3:31
5,OAK,2016,2016/10/30,1:02,1:02,@,TAM,8,8,Sun,W 30-24,OT,626,85,7.4,61,4.4,1,44:12:00,3:46
6,NOR,2013,2013/11/10,8:30,7:30,,DAL,10,9,Sun,W 49-17,,625,80,7.8,43,4.5,1,39:32:00,3:13
7,DET,2013,2013/10/27,1:03,1:03,,DAL,8,8,Sun,W 31-30,,623,78,8,56,4.8,4,35:11:00,3:26
8,NWE,2011,2011/9/12,7:13,7:13,@,MIA,1,1,Mon,W 38-24,,622,71,8.8,73,6.7,1,28:27:00,3:26
9,SFO,2012,2012/10/7,4:25,1:25,,BUF,5,5,Sun,W 45-3,,621,63,9.9,46,4.4,1,36:14:00,2:56
10,NWE,2009,2009/10/18,4:15,4:15,,TEN,6,6,Sun,W 59-0,,619,77,8,50,3.7,,39:00:00,3:06
11,NOR,2011,2012/1/1,1:03,12:03,,CAR,17,16,Sun,W 45-17,,617,73,8.5,51,5.9,1,34:34:00,2:50
12,STL,2000,2000/10/1,1:02,12:02,,SDG,5,5,Sun,W 57-31,,614,62,9.9,58,6.6,,30:25:00,3:08
13,NWE,2013,2013/11/3,4:25,4:25,,PIT,9,9,Sun,W 55-31,,610,71,8.6,73,6.6,1,28:48:00,3:29
14,NOR,2015,2015/11/1,1:02,12:02,,NYG,8,8,Sun,W 52-49,,608,76,8,65,6.4,2,34:59:00,3:33
15,TEN,2020,2020/10/18,1:00,12:00,,HOU,6,5,Sun,W 42-36,OT,607,70,8.7,67,6.1,2,31:50:00,3:12
16,MIN,2004,2004/10/17,8:36,7:36,@,NOR,6,5,Sun,W 38-31,,605,68,8.9,64,6,3,30:41:00,3:19
17,NYG,2012,2012/9/16,1:03,1:03,,TAM,2,2,Sun,W 41-34,,604,76,7.9,52,5.9,3,33:29:00,3:23
18,PIT,2015,2015/11/8,1:02,1:02,,OAK,9,9,Sun,W 38-35,,597,81,7.4,69,6.4,2,32:04:00,3:47
19,SEA,2014,2014/12/21,8:30,6:30,@,ARI,16,15,Sun,W 35-6,,596,67,8.9,64,3.4,,33:03:00,3:14
20,NOR,2006,2006/11/19,1:02,12:02,,CIN,11,10,Sun,L 16-31,,595,77,7.7,54,7.1,4,33:33:00,3:04
21,HOU,2019,2019/10/6,1:00,12:00,,ATL,5,5,Sun,W 53-32,,592,67,8.8,68,5.5,1,31:00:00,3:13
22,PHI,2010,2010/11/15,8:40,8:40,@,WAS,10,9,Mon,W 59-28,,592,67,8.8,51,7.4,,38:11:00,3:14
23,SEA,2002,2002/12/29,4:15,1:15,@,SDG,17,16,Sun,W 31-28,OT,591,90,6.6,73,5.7,3,39:50:00,3:39
24,KAN,2004,2004/10/31,1:00,12:00,,IND,8,7,Sun,W 45-35,,590,77,7.7,56,9,2,37:33:00,3:25
25,BUF,2016,2016/12/24,1:00,1:00,,MIA,16,15,Sat,L 31-34,OT,589,90,6.5,68,7.3,,40:33:00,3:38
26,TAM,2020,2020/12/26,1:00,1:00,@,DET,16,15,Sat,W 47-7,,588,70,8.4,50,3.7,,35:53:00,3:02
27,DET,2012,2012/9/23,1:03,12:03,@,TEN,3,3,Sun,L 41-44,OT,583,92,6.3,61,7.2,1,40:36:00,3:51
28,NOR,2020,2020/12/25,4:30,3:30,,MIN,16,15,Fri,W 52-33,,583,73,8,60,6.1,2,36:47:00,3:11
29,PHI,2005,2005/9/18,1:03,1:03,,SFO,2,2,Sun,W 42-3,,583,71,8.2,47,3,1,37:57:00,2:50
30,GNB,2013,2013/9/15,1:02,12:02,,WAS,2,2,Sun,W 38-20,,580,70,8.3,58,7.3,1,32:29:00,3:10
31,NWE,2012,2012/9/30,1:02,1:02,@,BUF,4,4,Sun,W 52-28,,580,77,7.5,69,6.3,2,30:47:00,3:17
32,BUF,2000,2000/12/23,8:36,5:36,@,SEA,17,16,Sat,W 42-23,,579,62,9.3,60,5.2,2,32:56:00,2:43
33,STL,2006,2006/12/24,1:02,12:02,,WAS,16,15,Sun,W 37-31,OT,579,78,7.4,64,5.3,1,36:37:00,3:23
34,NOR,2011,2011/11/28,8:40,7:40,,NYG,12,11,Mon,W 49-24,,577,69,8.4,70,6.6,,28:32:00,3:19
