y,x,class
1.2907584568744805e-36,1.2907584568744064e-36,no_correction
2.225036507171382e-41,2.2250365071714456e-41,no_correction
1.5240505163294998e-48,1.5240505163295648e-48,no_correction
7.003914330569746e-46,7.003914330570644e-46,no_correction
2.2827293800425854e-44,2.2827293800425854e-44,no_correction
2.7656988022224418e-45,2.7656988022224418e-45,no_correction
1.099131203527642e-40,1.0991312035275949e-40,no_correction
4.02788306534958e-44,4.027883065349753e-44,no_correction
5.478661332644537e-50,5.478661332644771e-50,no_correction
2.2371763882501857e-43,2.2371763882501857e-43,no_correction
3.0795918742445516e-46,3.0795918742442875e-46,no_correction
4.99164499437224e-40,4.99164499437224e-40,no_correction
1.7571444710650623e-44,1.757144471064762e-44,no_correction
4.812479365340691e-44,4.812479365340485e-44,no_correction
3.88489492045794e-41,3.884894920457828e-41,no_correction
2.045174008332964e-47,2.0451740083324967e-47,no_correction
3.425525125574376e-46,3.425525125574376e-46,no_correction
1.294476424268099e-43,1.2944764242679882e-43,no_correction
8.684368897650349e-46,8.684368897650349e-46,no_correction
1.926527952750706e-45,1.926527952750706e-45,no_correction
2.990902881634086e-43,2.990902881634086e-43,no_correction
4.641273435271711e-47,4.641273435271909e-47,no_correction
7.408358023642945e-40,7.408358023643475e-40,no_correction
4.968343526360638e-44,4.968343526361062e-44,no_correction
3.6379998795484474e-43,3.6379998795484474e-43,no_correction
4.00919428925583e-41,4.0091942892559447e-41,no_correction
3.237052334555184e-41,3.2370523345554156e-41,no_correction
6.376744878624347e-38,6.376744878624165e-38,no_correction
6.022750471435355e-41,6.022750471435355e-41,no_correction
4.76430505613708e-41,4.76430505613742e-41,no_correction
1.1802319964605934e-35,1.1802319964604924e-35,no_correction
6.629151951620554e-49,6.629151951619704e-49,no_correction
2.59753096685269e-41,2.5975309668529496e-41,no_correction
1.1531865038191543e-44,1.153186503819253e-44,no_correction
6.873849999782533e-51,6.873849999781649e-51,no_correction
3.1525408941492035e-44,3.152540894149069e-44,no_correction
2.5906713270364517e-42,2.5906713270364514e-42,no_correction
5.345003753177086e-42,5.3450037531769324e-42,no_correction
2.9086230885865293e-48,2.908623088586777e-48,no_correction
3.874120771652679e-44,3.8741207716536743e-44,no_correction
6.356585698605896e-35,6.356585698606441e-35,no_correction
1.4455211280592039e-35,1.4455211280591007e-35,no_correction
1.3271607874203892e-39,1.3271607874205601e-39,no_correction
3.5442064539531817e-44,3.544206453953636e-44,no_correction
7.728018920092175e-42,7.728018920091623e-42,no_correction
2.0109701916989533e-41,2.0109701916988098e-41,no_correction
3.770224949642291e-42,3.770224949642291e-42,no_correction
1.8430006444527694e-45,1.843000644453006e-45,no_correction
1.7730687530276346e-46,1.773068753027483e-46,no_correction
2.40070046007457e-37,2.40070046007457e-37,no_correction
9.563104900889624e-42,9.563104900888942e-42,no_correction
2.4351612658969976e-35,2.4351612658969976e-35,no_correction
2.8992285540935795e-43,2.8992285540939112e-43,no_correction
4.651325001977409e-38,4.651325001977409e-38,no_correction
3.817881233930082e-43,3.81788123392981e-43,no_correction
2.7373154861808054e-46,2.7373154861808054e-46,no_correction
